story,dir,B1041.002a,B1041.002b,B1049.011,B2011.201a,B2011.201b,B2022.002,C1011.001b,C2011.011b,C3011.001b,C3027.002,C3032.003a,C3032.003b,C3032.003c,C3032.003d,C3034.002,D1014.041,D1014.042,D1014.043,D1014.044,D2021.013a,D2021.013b,D2021.023a,D2021.023b,D2031.013b,D3031.013f,D3031.023f,D3041.011c,D3041.012c,D3041.032c,D3041.041b,D3041.103c,D3052.013l,D3052.013l,D3052.013l,D3067.012c,D4011.024a,D4011.054a,D5011.013c,D5012.013d,D5012.023c,D5012.033c
1,1,4,6,0,1.282051282,1.282051282,83,5,1,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,4,6,0,1.282051282,1.282051282,83,5,1,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,0,9,0,0,0,0,0,0,75,9,4,1.25,0.9,15,0,4,4,4,1.26,1.26,0.45,0.45,0.57,3,0,0.75,0.2,9,2,1,0,0,0,1,2,1,1,1,1,1
2,1,4,6,0,0.961538462,0.961538462,63,5,1,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,4,6,0,0.961538462,0.961538462,63,5,1,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,9,0,0,0,0,0,0,75,9,4,1.25,0.9,15,0,0,0,0,1.26,1.26,0.45,0.45,0.57,0,0,0.75,0.2,9,2,1,0,0,0,0,2,1,0,0,0,1
3,1,4,6,0,0.961538462,0.961538462,63,5,1,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,4,6,0,0.961538462,0.961538462,63,5,1,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,9,0,0,0,0,0,0,75,9,4,1.25,0.9,15,0,0,0,0,1.26,1.26,0.45,0.45,0.57,0,0,0.75,0.2,9,2,1,1,0,0,0,2,1,0,0,0,1
4,1,4,6,0,0.961538462,0.961538462,63,5,1,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,4,6,0,0.961538462,0.961538462,63,5,1,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0,0,9,0,0,0,0,0,0,75,9,4,1.25,0.9,15,0,0,0,0,1.26,1.26,0.45,0.45,0.57,0,0,0.75,0.2,9,2,1,0,0,0,0,2,1,0,0,0,1
5,1,4,6,0,0.961538462,0.961538462,63,5,1,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,4,6,0,0.961538462,0.961538462,63,5,1,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0,0,9,0,0,0,0,0,0,75,9,4,1.25,0.9,15,0,0,0,0,1.26,1.26,0.45,0.45,0.57,0,0,0.75,0.2,9,2,1,0,0,0,0,2,1,0,0,0,1
6,1,4,6,0,0.961538462,0.961538462,63,5,1,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,4,6,0,0.961538462,0.961538462,63,5,1,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,0,0,9,0,0,0,0,0,0,75,9,4,1.25,0.9,15,0,0,0,0,1.26,1.26,0.45,0.45,0.57,0,0,0.75,0.2,9,2,1,0,0,0,0,2,1,0,0,0,1
7,1,4,6,0,0.961538462,0.961538462,63,5,1,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,4,6,0,0.961538462,0.961538462,63,5,1,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,0,0,9,0,0,0,0,0,0,75,9,4,1.25,0.9,15,0,0,0,0,1.26,1.26,0.45,0.45,0.57,0,0,0.75,0.2,9,2,1,0,1,0,0,2,1,0,0,0,1
8,1,4,6,0,0.961538462,0.961538462,63,5,1,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,4,6,0,0.961538462,0.961538462,63,5,1,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,0,0,9,0,0,0,0,0,0,75,9,4,1.25,0.9,15,0,0,0,0,1.26,1.26,0.45,0.45,0.57,0,0,0.75,0.2,9,2,1,0,0,0,0,2,1,0,0,0,1
9,1,4,6,0,0.961538462,0.961538462,63,5,1,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,4,6,0,0.961538462,0.961538462,63,5,1,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,0,0,9,0,0,0,0,0,0,75,9,4,1.25,0.9,15,0,0,0,0,1.26,1.26,0.45,0.45,0.57,0,0,0.75,0.2,9,2,1,0,0,0,0,2,1,0,0,0,1
10,1,4,6,0,0.961538462,0.961538462,63,5,1,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,4,6,0,0.961538462,0.961538462,63,5,1,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,0,0,9,0,0,0,0,0,0,75,9,4,1.25,0.9,15,0,0,0,0,1.26,1.26,0.45,0.45,0.57,0,0,0.75,0.2,9,2,1,0,0,0,0,2,1,0,0,0,1
11,1,4,6,0,0.961538462,0.961538462,63,5,1,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,4,6,0,0.961538462,0.961538462,63,5,1,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,0,0,9,0,0,0,0,0,0,75,9,4,1.25,0.9,15,0,0,0,0,1.26,1.26,0.45,0.45,0.57,0,0,0.75,0.2,9,2,1,0,0,0,0,2,1,0,0,0,1
12,1,4,6,0,0.961538462,0.961538462,63,5,1,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,4,6,0,0.961538462,0.961538462,63,5,1,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3,0,0,9,0,0,0,0,0,0,75,9,4,1.25,0.9,15,4,0,0,0,1.26,1.26,0.45,0.45,0.57,0,3,0.75,0.2,9,2,1,0,0,1,0,2,1,0,0,0,1
